split,model,horizon,mae,wape,bias,n
holdout,ml,1,2.491137697580063,,2.491137697580063,20
holdout,ml,2,12.368896104973441,0.4214274652461138,-0.17670494733838057,20
holdout,ml,3,61.11078336433697,0.5901572512248862,-47.79748976502559,20
holdout,ml,4,79.70119080784534,0.7441754510536446,-30.2890585351766,20
holdout,ml,5,43.06548949013424,0.43676967028533714,-20.636352576853962,20
holdout,ml,6,68.41739825635857,1.8978473857519713,65.45447131489864,20
holdout,ml,7,28.007827580476892,0.5768862529449411,5.697703050155679,20
holdout,ml,8,2.491137697580063,,2.491137697580063,20
holdout,ml,9,12.674950411814747,0.42820778418293065,-0.4267049473383806,20
holdout,ml,10,41.82921278566205,0.5929016695345436,-14.81771100167174,20
holdout,ml,11,38.109056217298956,0.8554221373131079,32.260941464823404,20
holdout,ml,12,33.815150010789644,0.5958616741989364,21.213647423146035,20
holdout,ml,13,56.554471314898635,1.2581639892079786,56.554471314898635,20
holdout,ml,14,33.902144706251896,0.8956973502312259,16.397703050155677,20
holdout,ml,15,2.49016787004438,,2.49016787004438,20
holdout,ml,16,21.66469285276387,2.177356065604409,19.211161907549176,20
holdout,ml,17,32.75640451837821,1.4272943145262837,32.75640451837821,20
holdout,ml,18,39.37707304485181,0.9994180975850714,37.37346099431166,20
holdout,ml,19,33.866718722649004,0.4598332481011406,4.275621896055265,20
holdout,ml,20,54.161934574511704,1.3114269872763125,33.43015859731092,20
holdout,ml,21,43.7281312210272,0.615022942630481,-24.553431647312316,20
holdout,ml,22,2.2728218623529353,,2.2728218623529353,20
holdout,ml,23,17.234535955421844,1.795264162023109,17.107904995797657,20
holdout,ml,24,31.679973041341007,0.6518512971469343,4.074171970686043,20
holdout,ml,25,30.25436388103811,0.6939074284641767,20.897555493402965,20
holdout,ml,26,30.804379722682533,0.5177206676081099,5.689051101852893,20
holdout,ml,27,47.38340132500089,1.1175330501179457,30.16028864481324,20
holdout,ml,28,39.69439787419631,6.106830442184048,39.69439787419631,20
holdout,seasonal_naive,1,0.0,,0.0,20
holdout,seasonal_naive,2,19.55,0.666098807495741,10.85,20
holdout,seasonal_naive,3,83.7,0.8083051665861902,-82.3,20
holdout,seasonal_naive,4,94.4,0.8814192343604108,-65.4,20
holdout,seasonal_naive,5,120.1,1.218052738336714,22.6,20
holdout,seasonal_naive,6,71.3,1.9778085991678225,63.0,20
holdout,seasonal_naive,7,31.8,0.654994850669413,-12.3,20
holdout,seasonal_naive,8,0.0,,0.0,20
holdout,seasonal_naive,9,14.6,0.49324324324324326,10.6,20
holdout,seasonal_naive,10,57.6,0.8164422395464209,-49.3,20
holdout,seasonal_naive,11,36.35,0.8159371492704826,-2.85,20
holdout,seasonal_naive,12,116.95,2.0607929515418504,64.45,20
holdout,seasonal_naive,13,80.6,1.793103448275862,54.1,20
holdout,seasonal_naive,14,29.1,0.7688243064729194,-1.6,20
holdout,seasonal_naive,15,0.0,,0.0,20
holdout,seasonal_naive,16,30.25,3.040201005025126,30.25,20
holdout,seasonal_naive,17,17.4,0.7581699346405228,-1.7,20
holdout,seasonal_naive,18,28.1,0.7131979695431472,2.3,20
holdout,seasonal_naive,19,128.65,1.746775288526816,47.55,20
holdout,seasonal_naive,20,80.05,1.9382566585956416,57.75,20
holdout,seasonal_naive,21,61.45,0.8642756680731364,-34.85,20
